question,response
FRNSCHL,2
FRNSCHL,3
FRNSCHL,4
FRNSCHL,5
FRNSCHL,6
FRNSCHL,7
FRNSCHL,8
FRNSCHL,9
FRNSCHL,10
FRNSCHL,11
FRNSCHL,12
FRNSCHL,13
FRNSCHL,14
FRNSCHL,15
FRNSCHL,16
FRNSCHL,17
FRNSCHL,18
FRNSCHL,19
FRNSCHL,20
GENDER,1
GENDER,2
GENDER,3
HEALTH_HEALTH_1,1
HEALTH_HEALTH_1,2
HEALTH_HEALTH_1,3
HEALTH_HEALTH_1,4
HEALTH_HEALTH_1,5
HEALTH_HEALTH_1,6
HEALTH_HEALTH_2,1
HEALTH_HEALTH_2,2
HEALTH_HEALTH_2,3
HEALTH_HEALTH_2,4
HEALTH_HEALTH_2,5
HEALTH_HEALTH_2,6
HEALTH_HEALTH_3,1
HEALTH_HEALTH_3,2
HEALTH_HEALTH_3,3
HEALTH_HEALTH_3,4
HEALTH_HEALTH_3,5
HEALTH_HEALTH_3,6
HEALTH_HEALTH_4,1
HEALTH_HEALTH_4,2
HEALTH_HEALTH_4,3
HEALTH_HEALTH_4,4
HEALTH_HEALTH_4,5
HEALTH_HEALTH_4,6
HEALTH_HEALTH_5,1
HEALTH_HEALTH_5,2
HEALTH_HEALTH_5,3
HEALTH_HEALTH_5,4
HEALTH_HEALTH_5,5
HEALTH_HEALTH_5,6
HEALTH_HEALTH_6,1
HEALTH_HEALTH_6,2
HEALTH_HEALTH_6,3
HEALTH_HEALTH_6,4
HEALTH_HEALTH_6,5
HEALTH_HEALTH_6,6
HEALTH_HEALTH_7,1
HEALTH_HEALTH_7,2
HEALTH_HEALTH_7,3
HEALTH_HEALTH_7,4
HEALTH_HEALTH_7,5
HEALTH_HEALTH_7,6
Housing,1
Housing,2
Housing,3
Housing,4
Housing,5
Housing,6
Housing,7
Housing,8
Housing,9
Housing,10
Housing,11
Housing,12
HS_GPA,1
HS_GPA,2
HS_GPA,3
HS_GPA,4
HS_GPA,5
HS_GPA,6
HS_GPA,7
HS_GPA,8
HS_GPA,9
LIFESAT_LIFESAT_1,1
LIFESAT_LIFESAT_1,2
LIFESAT_LIFESAT_1,3
LIFESAT_LIFESAT_1,4
LIFESAT_LIFESAT_1,5
LIFESAT_LIFESAT_1,6
LIFESAT_LIFESAT_2,1
LIFESAT_LIFESAT_2,2
LIFESAT_LIFESAT_2,3
LIFESAT_LIFESAT_2,4
LIFESAT_LIFESAT_2,5
LIFESAT_LIFESAT_2,6
LIFESAT_LIFESAT_3,1
LIFESAT_LIFESAT_3,2
LIFESAT_LIFESAT_3,3
LIFESAT_LIFESAT_3,4
LIFESAT_LIFESAT_3,5
LIFESAT_LIFESAT_3,6
LIFESAT_LIFESAT_4,1
LIFESAT_LIFESAT_4,2
LIFESAT_LIFESAT_4,3
LIFESAT_LIFESAT_4,4
LIFESAT_LIFESAT_4,5
LIFESAT_LIFESAT_4,6
LIFESAT_LIFESAT_5,1
LIFESAT_LIFESAT_5,2
LIFESAT_LIFESAT_5,3
LIFESAT_LIFESAT_5,4
